mean_std_ratio,N50,contrast,image
3.8118463,0,0.6004885,rs930728n00
4.311394,0,0.5227716,rs930729n00
5.401167,0,0.4242806,rs930730n00
3.8107667,0,0.5323856,rs930731n00
4.9815,0,0.40818256,rs930732n00
8.822608,0,0.28836548,rs930733n00
8.941183,0,0.24698403,rs930734n00
11.029715,0,0.20740671,rs930735n00
7.7410626,0,0.2975488,rs930736n00
5.116348,0,0.48406824,rs930737n00
10.131269,0,0.22276331,rs930738n00
12.914164,0,0.24133882,rs930739n00
8.836626,0,0.5837502,rs930801n00
12.196401,0,0.55881166,rs930802n00
4.5289345,0,0.4572706,rs930803n00
2.3342857,0,0.76237726,rs930804n00
5.869606,0,0.76589155,rs930805n00
26.895155,0,0.1250279,rs930806n00
12.035004,0,0.21812674,rs930807n00
13.7898245,0,0.18219864,rs930808n00
21.668629,0,0.12682691,rs930809n00
10.979244,0,0.352276,rs930810n00
12.366279,0,0.23063919,rs930811n00
15.660721,0,0.15800819,rs930812n00
7.336103,0,0.4262645,rs930813n00
3.9257488,0,0.51073104,rs930814n00
16.334385,0,0.19984621,rs930815n00
4.810909,0,0.41701263,rs930816n00
5.0638547,0,0.40272695,rs930817n00
8.74353,0,0.28412428,rs930818n00
17.956905,0,0.15109783,rs930819n00
8.008494,0,0.2970352,rs930820n00
8.661259,0,0.3726698,rs930821n00
11.690558,0,0.26954672,rs930822n00
7.942212,0,0.32791632,rs930823n00
13.875478,0,0.31697515,rs930824n00
18.173166,0,0.15610833,rs930825n00
7.67453,0,0.27634627,rs930826n00
6.606851,0,0.3055622,rs930827n00
4.3239408,0,0.5945012,rs930828n00
3.6856022,0,0.5730677,rs930829n00
3.0001016,0,0.6096974,rs930830n00
6.3731627,0,0.41971403,rs930831n00
7.097038,0,0.34005398,rs930832n00
7.54526,0,0.30452266,rs930833n00
4.1762037,0,0.4945722,rs930834n00
6.7361217,0,0.37425295,rs930835n00
6.577839,0,0.44950235,rs930836n00
11.368429,0,0.2361174,rs930837n00
12.573783,0,0.20248073,rs930838n00
11.698329,0,0.2413153,rs930839n00
12.599939,0,0.1907046,rs930840n00
5.665035,0,0.3763888,rs930841n00
5.683013,0,0.6590046,rs930842n00
3.9090312,0,0.80788434,rs930843n00
6.363463,0,0.60551715,rs930901n00
3.4263096,0,0.67764896,rs930902n00
7.4040155,0,0.4396432,rs930903n00
4.7800817,0,0.48448336,rs930904n00
2.074755,0,0.8006319,rs930905n00
8.331573,0,0.6931663,rs930906n00
25.867435,0,0.12878719,rs930907n00
8.758134,0,0.278363,rs930908n00
11.916917,0,0.23604746,rs930909n00
41.96479,0,0.08132993,rs930910n00
12.835336,0,0.3268409,rs930911n00
11.90955,0,0.24646227,rs930912n00
20.543722,0,0.1787539,rs930913n00
13.641735,0,0.20295174,rs930914n00
4.2590356,0,0.5111839,rs930915n00
14.371632,0,0.21784054,rs930916n00
7.4818525,0,0.33418837,rs930917n00
4.0313053,0,0.44877753,rs930918n00
5.2051425,0,0.3506595,rs930919n00
14.743056,0,0.16993658,rs930920n00
21.70233,0,0.15641434,rs930921n00
6.153403,0,0.43815833,rs930922n00
13.354604,0,0.2961886,rs930923n00
2.5513575,6895,0.9971962,rs930924n00
4.607288,0,0.606895,rs930925n00
16.100807,0,0.18502045,rs930926n00
19.335924,0,0.13575153,rs930927n00
17.630846,0,0.19528699,rs930928n00
5.368606,0,0.35840142,rs930929n00
7.725578,0,0.34993613,rs930930n00
6.653189,0,0.35688254,rs930931n00
3.6606576,0,0.5867312,rs930932n00
2.5162876,0,0.6247428,rs930933n00
6.534173,0,0.32772803,rs930934n00
5.317181,0,0.40775904,rs930935n00
12.553433,0,0.19537419,rs930936n00
9.092197,0,0.2787621,rs930937n00
4.457289,0,0.54055196,rs930938n00
8.295318,0,0.3845601,rs930939n00
5.9799275,0,0.44059268,rs930940n00
11.26719,0,0.24202107,rs930941n00
6.800865,0,0.4021867,rs930942n00
8.849782,0,0.30413327,rs930943n00
17.747156,0,0.22055426,rs930944n00
19.570402,0,0.16492464,rs930945n00
7.2178726,0,0.3597394,rs930946n00
4.36266,0,0.8538049,rs930947n00
6.715052,0,0.78829885,rs930948n00
